DocketNumber,file,transcript
17-586,https://www.supremecourt.gov/media/audio/mp3files/17-586.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2017/17-586_4357.pdf
12-1493,https://www.supremecourt.gov/media/audio/mp3files/12-1493.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2013/12-1493_1b8e.pdf
12-399,https://www.supremecourt.gov/media/audio/mp3files/12-399.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2012/12-399_53k8.pdf
12-315,https://www.supremecourt.gov/media/audio/mp3files/12-315.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2013/12-315_m7i2.pdf
13-553,https://www.supremecourt.gov/media/audio/mp3files/13-553.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2014/13-553_i4ek.pdf
13-895,https://www.supremecourt.gov/media/audio/mp3files/13-895.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2014/13-895_5483.pdf
19-897,https://www.supremecourt.gov/media/audio/mp3files/19-897.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2020/19-897_l537.pdf
13-298,https://www.supremecourt.gov/media/audio/mp3files/13-298.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2013/13-298_d18k.pdf
11-9335,https://www.supremecourt.gov/media/audio/mp3files/11-9335.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2012/11-9335.pdf
13-461,https://www.supremecourt.gov/media/audio/mp3files/13-461.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2013/13-461_97l5.pdf
10-174,https://www.supremecourt.gov/media/audio/mp3files/10-174.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2010/10-174.pdf
12-133,https://www.supremecourt.gov/media/audio/mp3files/12-133.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2012/12-133.pdf
17-1717,https://www.supremecourt.gov/media/audio/mp3files/17-1717.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2018/17-1717_8n59.pdf
11-798,https://www.supremecourt.gov/media/audio/mp3files/11-798.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2012/11-798_b97d.pdf
19-251,https://www.supremecourt.gov/media/audio/mp3files/19-251.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2020/19-251_h3ci.pdf
11-1085,https://www.supremecourt.gov/media/audio/mp3files/11-1085.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2012/11-1085.pdf
16-1220,https://www.supremecourt.gov/media/audio/mp3files/16-1220.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2017/16-1220_8nj9.pdf
17-204,https://www.supremecourt.gov/media/audio/mp3files/17-204.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2018/17-204_4h28.pdf
09-987,https://www.supremecourt.gov/media/audio/mp3files/09-987.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2010/09-987.pdf
11-597,https://www.supremecourt.gov/media/audio/mp3files/11-597.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2012/11-597.pdf
10-895,https://www.supremecourt.gov/media/audio/mp3files/10-895.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2011/10-895.pdf
10-98,https://www.supremecourt.gov/media/audio/mp3files/10-98.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2010/10-98.pdf
12-398,https://www.supremecourt.gov/media/audio/mp3files/12-398.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2012/12-398_h3dj.pdf
09-1273,https://www.supremecourt.gov/media/audio/mp3files/09-1273.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2010/09-1273.pdf
17-1498,https://www.supremecourt.gov/media/audio/mp3files/17-1498.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2019/17-1498_5if6.pdf
17-1484,https://www.supremecourt.gov/media/audio/mp3files/17-1484.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2018/17-1484_8o6a.pdf
18-882,https://www.supremecourt.gov/media/audio/mp3files/18-882.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2019/18-882_d1o2.pdf
11-770,https://www.supremecourt.gov/media/audio/mp3files/11-770.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2012/11-770.pdf
14-103,https://www.supremecourt.gov/media/audio/mp3files/14-103.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2014/14-103_apg7.pdf
18-6943,https://www.supremecourt.gov/media/audio/mp3files/18-6943.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2019/18-6943_3e04.pdf
14-770,https://www.supremecourt.gov/media/audio/mp3files/14-770.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2015/14-770_m64o.pdf
19-631,https://www.supremecourt.gov/media/audio/mp3files/19-631.mp3,https://www.supremecourt.gov/oral_arguments/argument_transcripts/2019/19-631_omjp.pdf
